gmaps_link,name,rating,reviews,address_1,address_2,image
https://www.google.fr/maps/place/CRYO+Advance+Sauvegarde+Lyon+Ecully+%E2%80%A2+Cryotherapie+Corps+Entier+et+Localis%C3%A9e%E2%80%A2Cryolipolyse%E2%80%A2Photobiomodulation%E2%80%A2Pressotherapie/data=!4m7!3m6!1s0x47f4ea272ad9ecb7:0xe874a36760966398!8m2!3d45.7878131!4d4.7856434!16s%2Fg%2F11c1lcnxsq!19sChIJtzZKifq9EcRmGOWYGejdOg?authuser=0&hl=fr&rclk=1,CRYO Advance Sauvegarde Lyon Ecully • Cryotherapie Corps Entier et Localisée•Cryolipolyse•Photobiomodulation•Pressotherapie,"4,8",160,,,https://lh3.googleusercontent.com/p/AF1QipM1P6QlZF2epXHqu7bhTAsnxFyjlpm9AEChntCb=w137h92kno
https://www.google.fr/maps/place/DERMOPURE++Centre+%C3%89pilation+Laser+%26+Cryolipolyse+Lyon/data=!4m7!3m6!1s0x47f4eb9c415e598b:0x9c2809e855af22d5!8m2!3d45.7743455!4d4.8448486!16s%2Fg%2F11yl7vyg0x!19sChIJi1leQZzr9EcR1SKvVegJKJw?authuser=0&hl=fr&rclk=1,DERMOPURE  Centre Épilation Laser & Cryolipolyse Lyon,5,55,,,https://lh3.googleusercontent.com/p/AF1QipM86v3J8OUglfIGgf1LufSfx2dfOXcv2LTynnMd=w119h92kno
https://www.google.fr/maps/place/L%27Instant+Cryo+Lyon/data=!4m7!3m6!1s0x47f4eb4993364f75:0x81020721376b0365!8m2!3d45.7699986!4d4.8419922!16s%2Fg%2F11v6ddx5l5!19sChIJdU82k0nr9EcRZQNrNyEHAoE?authuser=0&hl=fr&rclk=1,L'Instant Cryo Lyon,5,60,,,https://lh3.googleusercontent.com/p/AF1QipNU0b1Nxgt_UJjbiisUOuw68w5W9pjYZOjk8jI=w92h92kno
https://www.google.fr/maps/place/CRYOAdvance+Lyon+6+Le+Parc+Centre+de+%E2%80%A2Cryotherapie+Corps+Entier%2FLocalis%C3%A9+%E2%80%A2+EMSculpt+N%C3%A9o+%E2%80%A2Oxygenotherapie+%E2%80%A2+Photobiomodulation/data=!4m7!3m6!1s0x47f4eb863b6b4cf7:0x6f21b0a0b7e371ef!8m2!3d45.7724941!4d4.8598097!16s%2Fg%2F11fkl2bw0j!19sChIJ90xrO4br9EcR73Hjt6CwIW8?authuser=0&hl=fr&rclk=1,CRYOAdvance Lyon 6 Le Parc Centre de •Cryotherapie Corps Entier/Localisé • EMSculpt Néo •Oxygenotherapie • Photobiomodulation,5,441,,,https://lh3.googleusercontent.com/gpscss/AHVAwepJz71OReTMjtSJiNkA9miDSWiWXfZ2rVk3XmdlBfvEbbl9YUnzmf9GJRYTAdNoClybwwBztuTKRo4hM12h9mV2wFzGP_4wsn5mBftJeR2DkLVl_vVt48g_a56KSIDzAM=w80h106kno
"https://www.google.fr/maps/place/CRYOMOTION++Cryolipolyse,+Remodelage+%26+Soins+Corporels/data=!4m7!3m6!1s0x47f4eb5ec725a97b:0x42ca2261d2d0e1dd!8m2!3d45.759647!4d4.846287!16s%2Fg%2F11gmx01329!19sChIJe6klx17r9EcR3eHQ0mEiykI?authuser=0&hl=fr&rclk=1","CRYOMOTION  Cryolipolyse, Remodelage & Soins Corporels","4,8",17,,,https://lh3.googleusercontent.com/p/AF1QipOf34nQbAK6N6r2lBpIl_JjS50wzh5Cfjofg8s8=w80h100kno
https://www.google.fr/maps/place/Cool+Fit/data=!4m7!3m6!1s0x47f4ebb323ddb9cf:0xa1ca8cbf948436cd!8m2!3d45.752027!4d4.826462!16s%2Fg%2F11g9qknlyc!19sChIJz7ndI7Pr9EcRzTaElLMyqE?authuser=0&hl=fr&rclk=1,Cool Fit,"4,9",137,,,https://lh3.googleusercontent.com/p/AF1QipOafyRijCVUCwYfXRODkEHLMiBrQjhfh8lHiCzl=w138h92kno
https://www.google.fr/maps/place/Cryo+Sant%C3%A9+Nature+Lyon++Cryolipolyse++Radio+Fr%C3%A9quences/data=!4m7!3m6!1s0x47f495a349789313:0xd0fced166c390fbf!8m2!3d45.7770195!4d4.7513151!16s%2Fg%2F11fn04m5yw!19sChIJE5N4SaOV9EcRvw85bBbt_NA?authuser=0&hl=fr&rclk=1,Cryo Santé Nature Lyon  Cryolipolyse  Radio Fréquences,"4,5",13,,,https://lh3.googleusercontent.com/p/AF1QipPDFg4QjMGVZYHlVcroW3alFKjPAhszBgHLnSUh=w146h92kno
https://www.google.fr/maps/place/CRYO+INSTITUT+Villeurbanne/data=!4m7!3m6!1s0x47f4c02997c545ff:0x8bdcc09afa6f90d2!8m2!3d45.7690262!4d4.8736189!16s%2Fg%2F11g9m3rds8!19sChIJ_0XFlynA9EcR0pBvprA3Is?authuser=0&hl=fr&rclk=1,CRYO INSTITUT Villeurbanne,"4,3",164,,,https://lh3.googleusercontent.com/p/AF1QipMjxWd0T6TYWyHx7xgd8cqJ8LUk0hDsEzQGsjGV=w163h92kno
https://www.google.fr/maps/place/Cryotera++P%C3%B4le+de+Cryoth%C3%A9rapie+Lyon/data=!4m7!3m6!1s0x47f4c34c1cff35ad:0x968c61a98e4d9728!8m2!3d45.716597!4d4.879634!16s%2Fg%2F11vs29v5_j!19sChIJrTX_HEzD9EcRKJdNjqlhjJY?authuser=0&hl=fr&rclk=1,Cryotera  Pôle de Cryothérapie Lyon,5,255,,,https://lh3.googleusercontent.com/p/AF1QipNswvOoyrMVgoXoT9dt3JeCFF6GSuflrlzUsJoH=w122h92kno
https://www.google.fr/maps/place/Clinique+des+Champs+Elys%C3%A9es+Lyon++M%C3%A9decine+esth%C3%A9tique/data=!4m7!3m6!1s0x47f4eb4bd7f0745d:0x9007bfc5c1f53990!8m2!3d45.7642562!4d4.8575263!16s%2Fg%2F11qb8h97k9!19sChIJXXTw10vr9EcRkDn1wcW_B5A?authuser=0&hl=fr&rclk=1,Clinique des Champs Elysées Lyon  Médecine esthétique,"4,7",374,,,https://lh3.googleusercontent.com/p/AF1QipPeTDT1K3QKTnbPsuRxke3e7OtlkJqsmZmwD2XH=w138h92kno
https://www.google.fr/maps/place/Sculpt+My+Body/data=!4m7!3m6!1s0x47f4eb86a9800b73:0xe3944bc5f35260aa!8m2!3d45.7634678!4d4.8689192!16s%2Fg%2F11f9yx7jln!19sChIJcwuAqYbr9EcRqmBS88VLlOM?authuser=0&hl=fr&rclk=1,Sculpt My Body,"4,5",64,,,https://lh3.googleusercontent.com/p/AF1QipMv_jdVGeA2nv1WdIAfDR6qSHdhsbdBcTQp9_Lc=w80h106kno
https://www.google.fr/maps/place/COOLSCULPTING+Cryolipolyse+Lyon/data=!4m7!3m6!1s0x47f4eaf0154d9259:0x40166f7b46bdc092!8m2!3d45.763252!4d4.8458776!16s%2Fg%2F11ffw48168!19sChIJWZJNFfDq9EcRksC9RntvFkA?authuser=0&hl=fr&rclk=1,COOLSCULPTING Cryolipolyse Lyon,1,1,,,https://lh3.googleusercontent.com/gpscss/AHVAwerJutOP_wrwegi19b4W1XN4RZdwZ3TJpz_rzhpKJM3RbvHQsnDX22DBynC9NO5OpNbbHsTuc2_QS_B3QRh6gIscvL6Cnj6fqCTythUEspumpXbZ3yYWpxcngPxyQPgsJbbmCb7lgVsOM4b=w163h92kno
